,date,open,close,high,low,volume,code
0,2018-01-02,5.82,5.869,5.889,5.79,106493.0,600006
1,2018-01-03,5.839,5.869,5.949,5.78,148937.0,600006
2,2018-01-04,5.83,5.81,5.849,5.79,99744.0,600006
3,2018-01-05,5.81,5.81,5.839,5.78,65840.0,600006
4,2018-01-08,5.82,5.879,5.889,5.82,110966.0,600006
5,2018-01-09,5.879,5.889,5.939,5.839,105602.0,600006
6,2018-01-10,5.879,5.78,5.889,5.73,105178.0,600006
7,2018-01-11,5.76,5.75,5.77,5.73,50763.0,600006
8,2018-01-12,5.75,5.839,5.899,5.74,174337.0,600006
9,2018-01-15,5.81,5.671,5.83,5.641,117475.0,600006
10,2018-01-16,5.681,5.71,5.75,5.671,59578.0,600006
11,2018-01-17,5.71,5.681,5.74,5.631,78007.0,600006
12,2018-01-18,5.681,5.681,5.7,5.651,54892.0,600006
13,2018-01-19,5.681,5.651,5.691,5.611,57860.0,600006
14,2018-01-22,5.631,5.7,5.72,5.621,69689.0,600006
15,2018-01-23,5.7,5.681,5.7,5.661,48317.0,600006
16,2018-01-24,5.671,5.7,5.73,5.661,68050.0,600006
17,2018-01-25,5.7,5.671,5.73,5.661,85789.0,600006
18,2018-01-26,5.681,5.671,5.691,5.661,65492.0,600006
19,2018-01-29,5.7,5.591,5.7,5.561,93772.0,600006
20,2018-01-30,5.591,5.591,5.631,5.571,43864.0,600006
21,2018-01-31,5.581,5.532,5.581,5.492,74004.0,600006
22,2018-02-01,5.512,5.293,5.571,5.273,97105.0,600006
